iter	Accuracy	Logloss
0	0.8120937118	0.6418140647
1	0.8155049237	0.6091490401
2	0.8154405612	0.5700075285
3	0.8161163674	0.539234286
4	0.816856536	0.5135777657
5	0.8203321104	0.4974081231
6	0.8233249662	0.4791753639
7	0.8238076849	0.4627957142
8	0.8263500032	0.452717734
9	0.8268005406	0.4418946395
10	0.8267361782	0.4337579794
11	0.8271545343	0.4255487533
12	0.8287314153	0.4167802601
13	0.829471584	0.4091270537
14	0.8291819528	0.403347621
15	0.8295681277	0.3970829582
16	0.8296968527	0.3927439665
17	0.8297290339	0.3881805041
18	0.8295359465	0.3849480135
19	0.8301473901	0.3811205431
20	0.8313059149	0.3778803629
21	0.8319817211	0.3752200795
22	0.8322069898	0.372497926
23	0.8327862522	0.3707160228
24	0.8336551458	0.3686980726
25	0.8336551458	0.3668006984
26	0.8335264208	0.3645140804
27	0.8346849456	0.3623584728
28	0.8350389393	0.3614028638
29	0.8350067581	0.3600758721
30	0.8353607518	0.3588391134
31	0.8353607518	0.3583867474
32	0.835521658	0.357095613
33	0.8357791079	0.3557227208
34	0.8359078329	0.3544047618
35	0.8364227328	0.3530850017
36	0.837227264	0.3524069865
37	0.8374847139	0.3514350144
38	0.8374525327	0.3506567672
39	0.8378065264	0.3503148979
40	0.8376778014	0.349873373
41	0.8384501513	0.3492378051
42	0.8387397825	0.3482698154
43	0.8385788762	0.3475247454
44	0.83867542	0.3468428807
45	0.8389006887	0.3460920399
46	0.8393190449	0.3459356507
47	0.8393190449	0.345429518
48	0.8394155886	0.3449049851
49	0.8392868636	0.3446049086
50	0.8395121323	0.3440461019
51	0.8397695823	0.3436823482
52	0.8399304885	0.3433694203
53	0.8401557572	0.3426950811
54	0.8409281071	0.3420629759
55	0.8412821008	0.3414687058
56	0.8417648195	0.3410352351
57	0.8418613632	0.3403770329
58	0.8419900882	0.3400361612
59	0.841829182	0.3396995707
60	0.841443007	0.3392949113
61	0.841443007	0.3389770218
62	0.8420866319	0.3386266513
63	0.8425371693	0.3380794401
64	0.8425049881	0.3376666736
65	0.8424728068	0.3374444911
66	0.8426015318	0.3372541369
67	0.842891163	0.3368419803
68	0.8429233443	0.3364460136
69	0.8432451567	0.3362282368
70	0.8432129755	0.336118352
71	0.8434060629	0.3356646939
72	0.8437922379	0.3352980229
73	0.8437278754	0.3351628705
74	0.8435991504	0.3350030888
75	0.8433095192	0.3345755845
76	0.8435669692	0.3345306101
77	0.8435347879	0.3345210568
78	0.8434382442	0.3343542471
79	0.8434704254	0.3337511954
80	0.8434060629	0.3335086235
81	0.8434704254	0.3332580454
82	0.8434060629	0.3329992465
83	0.8433417005	0.3329546144
84	0.8434382442	0.3328024442
85	0.8435347879	0.3322770884
86	0.8434704254	0.3322031962
87	0.8434704254	0.3321259699
88	0.8435347879	0.3320281772
89	0.8433738817	0.3317568192
90	0.8438244191	0.3315551347
91	0.8442105941	0.3313405432
92	0.8443071378	0.3310506977
93	0.844468044	0.3308263926
94	0.8445645878	0.3307708862
95	0.8445002253	0.3306441654
96	0.8445002253	0.3305557313
97	0.8445324065	0.3303250067
98	0.8446933127	0.3302099699
99	0.8447576752	0.3301962888
100	0.8448220377	0.3299454196
101	0.8448864002	0.3296751466
102	0.8448864002	0.3295847245
103	0.8448864002	0.329464893
104	0.8451760314	0.3292709637
105	0.8451116689	0.3292616672
106	0.8451116689	0.3292306148
107	0.8452082127	0.3289860917
108	0.8451116689	0.3289686592
109	0.8451760314	0.3289606417
110	0.8452403939	0.3288159006
111	0.8453369376	0.328767172
112	0.8454656626	0.3286784639
113	0.8454978439	0.3283306837
114	0.8454334814	0.3280484564
115	0.8455943876	0.3279501465
116	0.8456909313	0.327913054
117	0.8456909313	0.327881203
118	0.8460127438	0.3276384844
119	0.8460127438	0.3276330263
120	0.8461414688	0.3273849371
121	0.8463345562	0.3269378854
122	0.8462380125	0.3267896513
123	0.8462380125	0.3267896271
124	0.8464311	0.3266082753
125	0.8466563687	0.3263568056
126	0.8465920062	0.3263421461
127	0.8467529124	0.3261972131
128	0.8465276437	0.3259776996
129	0.8467207312	0.3258555651
130	0.8470425436	0.3256418576
131	0.8471069061	0.3254682814
132	0.8470747249	0.3253726261
133	0.8470747249	0.3253726117
134	0.8470747249	0.3251480075
135	0.8472678123	0.3249798915
136	0.8473965373	0.3247721395
137	0.8475574435	0.3244838596
138	0.8480401622	0.3243128004
139	0.8480723434	0.3241705834
140	0.8482654309	0.3239562606
141	0.8481688872	0.3238496498
142	0.8480401622	0.323834211
143	0.8480401622	0.3237925204
144	0.8482654309	0.3235727591
145	0.8486837871	0.323505868
146	0.8486194246	0.3234095307
147	0.8490055995	0.323273361
148	0.8490055995	0.3232680986
149	0.849069962	0.3231492341
150	0.8491665058	0.3230723732
151	0.849069962	0.3230548976
152	0.8491665058	0.322923554
153	0.8492308682	0.322568296
154	0.8493917745	0.3225370262
155	0.8495848619	0.32239804
156	0.8494239557	0.3222484939
157	0.849456137	0.3222254236
158	0.8494883182	0.3222254187
159	0.849327412	0.3219916304
160	0.8493595932	0.3219615708
161	0.8493595932	0.3219615707
162	0.8493595932	0.3218858878
163	0.849327412	0.3217911285
164	0.8494239557	0.3217370027
165	0.8496814057	0.3216322804
166	0.8495204995	0.321460943
167	0.8497779494	0.3213521619
168	0.8500997619	0.3211844974
169	0.8500997619	0.3211841023
170	0.8502284868	0.3210681966
171	0.8501641243	0.3208996394
172	0.8500997619	0.3207043176
173	0.8502606681	0.320597616
174	0.8501319431	0.3204905079
175	0.8502284868	0.3202274808
176	0.8503250306	0.3200975488
177	0.8506146618	0.3198654502
178	0.8506146618	0.3198654491
179	0.850518118	0.3197612766
180	0.8504537556	0.3194886961
181	0.8507433868	0.3193227581
182	0.8509364742	0.3192379567
183	0.850775568	0.3190876205
184	0.8508077492	0.3189688952
185	0.8508721117	0.3189389788
186	0.8510651992	0.3188588286
187	0.8512261054	0.318718793
188	0.8511939242	0.3186595818
189	0.8515157366	0.3185314026
190	0.8515157366	0.318314236
191	0.8516122804	0.3180216019
192	0.8519984553	0.3178318594
193	0.8520306365	0.3176939712
194	0.8521593615	0.3176576609
195	0.8522559053	0.3175927107
196	0.8521271803	0.317450758
197	0.8524489927	0.3171828684
198	0.8524489927	0.3169707615
199	0.8527386239	0.3166434991
200	0.8529317114	0.3164837515
201	0.8532857051	0.3162807681
202	0.8531891614	0.3160512464
203	0.8532857051	0.315929002
204	0.8532213426	0.3158116779
205	0.8532213426	0.3158084793
206	0.8533822488	0.3156733716
207	0.8532535238	0.3155444961
208	0.8532213426	0.3154003054
209	0.8531891614	0.3152408667
210	0.8531569801	0.3150879308
211	0.8533500676	0.3149761093
212	0.8535109738	0.3148109379
213	0.8535753363	0.3146912954
214	0.8535753363	0.3145319251
215	0.8536396988	0.3144136013
216	0.8537040613	0.314355432
217	0.8534144301	0.314211626
218	0.8538649675	0.3140533871
219	0.8538327863	0.313903486
220	0.85392933	0.3137464331
221	0.8540258737	0.3135747514
222	0.8543155049	0.3133933584
223	0.8543155049	0.3131970241
224	0.8544764111	0.3130926853
