iter	Passed	Remaining
0	66	53434
1	77	30735
2	87	23374
3	98	19587
4	109	17343
5	119	15784
6	129	14644
7	138	13760
8	148	13081
9	157	12418
10	167	11983
11	175	11528
12	184	11174
13	192	10822
14	201	10540
15	210	10310
16	219	10114
17	228	9925
18	236	9721
19	245	9560
20	254	9423
21	263	9320
22	273	9237
23	282	9136
24	291	9047
25	299	8920
26	308	8841
27	317	8745
28	325	8641
29	333	8554
30	341	8468
31	345	8286
32	354	8241
33	362	8174
34	371	8116
35	379	8055
36	387	7999
37	396	7954
38	404	7892
39	408	7764
40	417	7722
41	425	7687
42	435	7670
43	443	7620
44	453	7600
45	461	7560
46	465	7459
47	474	7430
48	482	7397
49	490	7357
50	498	7324
51	507	7296
52	515	7264
53	523	7234
54	532	7207
55	540	7176
56	548	7150
57	557	7128
58	565	7096
59	573	7068
60	581	7044
61	591	7038
62	600	7027
63	609	7005
64	618	6990
65	626	6963
66	634	6943
67	642	6921
68	651	6903
69	660	6885
70	668	6867
71	677	6853
72	685	6830
73	692	6789
74	700	6767
75	709	6757
76	712	6692
77	716	6631
78	723	6607
79	731	6582
80	740	6568
81	748	6553
82	756	6535
83	763	6510
84	771	6487
85	779	6472
86	787	6450
87	794	6427
88	802	6410
89	811	6403
90	819	6385
91	828	6376
92	838	6371
93	845	6350
94	852	6327
95	860	6307
96	868	6295
97	876	6279
98	885	6267
99	888	6221
100	897	6212
101	907	6208
102	911	6168
103	919	6155
104	927	6141
105	933	6110
106	940	6089
107	949	6082
108	955	6056
109	959	6018
110	967	6007
111	973	5980
112	982	5973
113	991	5964
114	1000	5961
115	1008	5948
116	1017	5937
117	1025	5925
118	1035	5924
119	1039	5892
120	1049	5891
121	1059	5885
122	1068	5882
123	1071	5840
124	1079	5830
125	1089	5826
126	1096	5812
127	1105	5804
128	1114	5797
129	1124	5793
130	1132	5785
131	1142	5783
132	1150	5769
133	1154	5737
134	1163	5731
135	1172	5724
136	1182	5722
137	1190	5711
138	1199	5706
139	1208	5699
140	1219	5697
141	1229	5695
142	1235	5675
143	1244	5667
144	1252	5659
145	1261	5648
146	1269	5639
147	1279	5635
148	1282	5604
149	1291	5595
150	1299	5584
151	1306	5571
152	1316	5565
153	1324	5557
154	1335	5555
155	1367	5645
156	1379	5651
157	1389	5646
158	1393	5617
159	1402	5611
160	1410	5597
161	1414	5569
162	1422	5560
163	1431	5550
164	1440	5544
165	1448	5531
166	1458	5528
167	1466	5516
168	1476	5511
169	1479	5483
170	1489	5477
171	1499	5473
172	1510	5475
173	1520	5470
174	1530	5465
175	1540	5462
176	1551	5459
177	1561	5457
178	1564	5427
179	1573	5420
180	1583	5416
181	1592	5408
182	1603	5405
183	1612	5399
184	1621	5390
185	1630	5381
186	1640	5377
187	1649	5368
188	1657	5359
189	1666	5351
190	1676	5347
191	1686	5341
192	1697	5337
193	1706	5331
194	1716	5324
195	1724	5315
196	1734	5309
197	1744	5305
198	1755	5302
199	1766	5298
200	1775	5292
201	1786	5288
202	1797	5286
203	1808	5282
204	1818	5278
205	1822	5254
206	1832	5250
207	1844	5248
208	1854	5243
209	1863	5236
210	1874	5233
211	1884	5225
212	1893	5217
213	1902	5209
214	1912	5203
215	1921	5196
216	1933	5194
217	1944	5190
218	1955	5187
219	1966	5185
220	1978	5182
221	1988	5177
222	1999	5174
223	2009	5168
224	2020	5163
225	2032	5161
226	2043	5157
227	2053	5152
228	2065	5150
229	2075	5144
230	2087	5141
231	2099	5139
232	2110	5135
233	2121	5132
234	2130	5123
235	2141	5118
236	2152	5112
237	2159	5099
238	2171	5096
239	2182	5093
240	2195	5091
241	2206	5088
242	2218	5084
243	2229	5080
244	2240	5075
245	2250	5068
246	2261	5063
247	2273	5060
248	2285	5057
249	2296	5053
250	2301	5033
251	2313	5029
252	2324	5024
253	2328	5005
254	2340	5002
255	2350	4994
256	2362	4991
257	2373	4986
258	2386	4983
259	2396	4977
260	2409	4975
261	2421	4972
262	2433	4969
263	2444	4963
264	2457	4961
265	2469	4956
266	2482	4954
267	2493	4949
268	2506	4947
269	2518	4944
270	2530	4939
271	2543	4936
272	2555	4932
273	2566	4926
274	2577	4920
275	2588	4914
276	2600	4910
277	2611	4903
278	2623	4899
279	2633	4891
280	2645	4886
281	2658	4882
282	2671	4880
283	2683	4875
284	2696	4872
285	2707	4865
286	2718	4859
287	2730	4853
288	2743	4850
289	2755	4846
290	2769	4843
291	2781	4838
292	2793	4834
293	2807	4831
294	2820	4828
295	2832	4823
296	2845	4819
297	2859	4816
298	2872	4812
299	2885	4808
300	2899	4806
301	2911	4800
302	2924	4796
303	2936	4791
304	2950	4789
305	2963	4784
306	2978	4782
307	2990	4776
308	3003	4773
309	3017	4769
310	3028	4762
311	3040	4756
312	3051	4748
313	3063	4741
314	3076	4737
315	3089	4732
316	3101	4725
317	3113	4719
318	3124	4711
319	3137	4705
320	3150	4701
321	3161	4693
322	3176	4690
323	3189	4685
324	3201	4679
325	3213	4671
326	3225	4666
327	3237	4659
328	3252	4655
329	3264	4649
330	3277	4643
331	3289	4636
332	3301	4630
333	3314	4624
334	3326	4617
335	3341	4614
336	3356	4611
337	3428	4686
338	3443	4682
339	3456	4677
340	3471	4672
341	3484	4666
342	3497	4659
343	3510	4654
344	3522	4646
345	3534	4637
346	3548	4632
347	3560	4624
348	3575	4620
349	3588	4613
350	3599	4605
351	3612	4598
352	3626	4592
353	3639	4585
354	3653	4579
355	3666	4572
356	3677	4563
357	3690	4556
358	3702	4547
359	3714	4540
360	3729	4534
361	3741	4526
362	3754	4520
363	3766	4512
364	3777	4502
365	3790	4494
366	3801	4484
367	3814	4477
368	3825	4468
369	3838	4460
370	3850	4451
371	3863	4444
372	3875	4436
373	3887	4427
374	3900	4420
375	3913	4412
376	3928	4407
377	3940	4399
378	3953	4391
379	3966	4384
380	3980	4377
381	3993	4369
382	4005	4361
383	4017	4352
384	4031	4345
385	4043	4336
386	4056	4329
387	4068	4319
388	4080	4311
389	4091	4301
390	4103	4292
391	4116	4284
392	4129	4276
393	4141	4268
394	4156	4261
395	4169	4254
396	4182	4245
397	4194	4236
398	4208	4229
399	4220	4220
400	4233	4212
401	4246	4204
402	4261	4197
403	4274	4190
404	4289	4183
405	4300	4173
406	4312	4164
407	4325	4155
408	4338	4147
409	4350	4137
410	4362	4128
411	4375	4120
412	4389	4113
413	4402	4104
414	4414	4095
415	4426	4086
416	4439	4077
417	4452	4069
418	4464	4059
419	4478	4051
420	4491	4043
421	4503	4034
422	4517	4026
423	4529	4016
424	4541	4007
425	4555	3999
426	4570	3992
427	4582	3983
428	4595	3973
429	4606	3963
430	4619	3954
431	4631	3945
432	4644	3936
433	4656	3926
434	4669	3917
435	4680	3907
436	4693	3899
437	4706	3890
438	4720	3881
439	4733	3872
440	4746	3863
441	4759	3854
442	4774	3847
443	4786	3837
444	4798	3827
445	4808	3816
446	4822	3808
447	4835	3799
448	4847	3789
449	4860	3780
450	4872	3770
451	4885	3761
452	4898	3752
453	4912	3743
454	4923	3733
455	4934	3722
456	4948	3713
457	4960	3704
458	4972	3694
459	4983	3683
460	4996	3674
461	5009	3664
462	5021	3654
463	5033	3645
464	5046	3635
465	5059	3626
466	5072	3616
467	5085	3607
